Designator,Footprint,Quantity,Value,LCSC Part #
D1,VEMD8082C,1,VEMD8082,
"J1, J2, J3, J4",TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,4,Conn_01x01_Pin,
