Designator,Mid X,Mid Y,Rotation,Layer
D1,150.0,-100.0,0.0,top
J1,148.0,-101.95,0.0,top
J2,152.0,-98.05,0.0,top
J3,148.0,-98.05,0.0,top
J4,152.0,-101.95,0.0,top
